# FieldId Time[UTC] deltaT[sec] RA Dec
05999 2021-09-01T07:47:46.897 421.301 92.45454 -16.81585
05133 2021-09-01T07:54:48.198 200.714 89.15095 -23.11126
04714 2021-09-01T07:58:08.912 117.694 87.82609 -26.25896
04509 2021-09-01T08:00:06.606 309.734 86.47059 -27.83282
03911 2021-09-01T08:05:16.340 119.65 84.00001 -32.55437
03718 2021-09-01T08:07:15.990 109.298 82.50000 -34.12823
03528 2021-09-01T08:09:05.288 109.938 81.38297 -35.70208
03343 2021-09-01T08:10:55.226 121.804 80.21739 -37.27593
03160 2021-09-01T08:12:57.030 111.316 78.56354 -38.84978
02982 2021-09-01T08:14:48.346 111.988 77.28814 -40.42364
02807 2021-09-01T08:16:40.334 101.332 75.95375 -41.99749
02638 2021-09-01T08:18:21.666 389.862 75.00000 -43.57134
02153 2021-09-01T08:24:51.528 105.271 68.51613 -48.29290
02002 2021-09-01T08:26:36.799 398.717 67.20000 -49.86675
01573 2021-09-01T08:33:15.516 169.516 59.55882 -54.58831
01441 2021-09-01T08:36:05.032 112.536 55.38462 -56.16217
01314 2021-09-01T08:37:57.568 189.714 53.28000 -57.73602
01192 2021-09-01T08:41:07.282 195.902 48.00000 -59.30987
01074 2021-09-01T08:44:23.184 193.001 42.26087 -60.88372
00963 2021-09-01T08:47:36.185 288.889 36.33028 -62.45758
00856 2021-09-01T08:52:25.074 89.914 26.21359 -64.03143
00855 2021-09-01T08:53:54.988 639.216 22.71844 -64.03143
00951 2021-09-01T09:04:34.204 89.373 358.25241 -64.03143
00950 2021-09-01T09:06:03.577 234.055 354.75726 -64.03143
01057 2021-09-01T09:09:57.632 224.067 346.78900 -62.45758
01169 2021-09-01T09:13:41.699 219.088 339.65216 -60.88372
01287 2021-09-01T09:17:20.787 137.566 333.00000 -59.30987
01410 2021-09-01T09:19:38.353 135.384 329.76001 -57.73602
01539 2021-09-01T09:21:53.737 1026.989 326.76923 -56.16217
02747 2021-09-01T09:39:00.726 118.787 308.57141 -43.57134
02918 2021-09-01T09:40:59.513 125.272 306.93640 -41.99749
03094 2021-09-01T09:43:04.785 4896.405 305.08475 -40.42364
12952 2021-09-01T11:04:41.190 95.693 264.48978 31.97359
13145 2021-09-01T11:06:16.883 108.611 263.93784 33.54744
13335 2021-09-01T11:08:05.494 1159.782 262.85715 35.12129
15013 2021-09-01T11:27:25.276 137.611 247.34694 50.85982
15155 2021-09-01T11:29:42.887 140.396 244.64789 52.43367
15293 2021-09-01T11:32:03.283 143.311 241.75183 54.00752
15425 2021-09-01T11:34:26.594 295.711 238.63637 55.58138
15675 2021-09-01T11:39:22.305 152.434 231.63934 58.72908
15793 2021-09-01T11:41:54.739 186.161 227.69231 60.30293
15904 2021-09-01T11:45:00.900 1677.61 222.16217 61.87680
15885 2021-09-01T12:12:58.510 137.985 160.54054 61.87680
15770 2021-09-01T12:15:16.495 177.957 156.92308 60.30293
15648 2021-09-01T12:18:14.452 172.885 151.96721 58.72908
15522 2021-09-01T12:21:07.337 265.02 147.40158 57.15523
15255 2021-09-01T12:25:32.357 161.306 141.89781 54.00752
15113 2021-09-01T12:28:13.663 95.418 138.16902 52.43367
14968 2021-09-01T12:29:49.081 155.345 137.14285 50.85982
14816 2021-09-01T12:32:24.426 93.807 133.81578 49.28596
14661 2021-09-01T12:33:58.233 129.682 132.99362 47.71211
14500 2021-09-01T12:36:07.915 346.426 130.80745 46.13826
13993 2021-09-01T12:41:54.341 124.712 126.20689 41.41670
13815 2021-09-01T12:43:59.053 1094.341 124.38203 39.84285
11849 2021-09-01T13:02:13.394 89.603 113.45972 24.10432
