FieldId date-obs deltaT[sec] RA Dec
15792 59458.23818259259 190.218 224.61539 60.30293
15903 59458.24038418981 1512.96 218.91893 61.8768
15886 59458.25789530093 220.139 163.78378 61.8768
15770 59458.26044320602 178.002 156.92308 60.30293
15648 59458.26250341435 173.097 151.96721 58.72908
15522 59458.264506851854 264.686 147.40158 57.15523
15255 59458.26757034722 256.567 141.89781 54.00752
14968 59458.27053987268 155.943 137.14285 50.85982
14816 59458.27234476852 93.175 133.81578 49.28596
14661 59458.27342318287 129.875 132.99362 47.71211
14500 59458.27492636574 346.303 130.80745 46.13826
13993 59458.27893450231 124.991 126.20689 41.4167
13815 59458.280381157405 123.671 124.38203 39.84285
13634 59458.281812534726 121.388 122.63736 38.269
12556 59458.283217488424 95.549 265.54456 28.82588
12755 59458.28432337963 10.591 265.02512 30.39973
13260 59458.28444596065 228.571 120.0 35.12129
13144 59458.28709145833 100.593 262.07254 33.54744
12673 59458.28825572917 8.993 116.68342 30.39973
13334 59458.28835981482 94.896 260.95239 35.12129
12472 59458.289458148145 1.407 115.84158 28.82588
13520 59458.28947443287 102.227 260.32257 36.69514
12267 59458.29065761574 8.223 115.02439 27.25203
13703 59458.290752789355 111.114 259.12088 38.269
13881 59458.292038831016 87.137 257.86517 39.84285
11849 59458.29304736111 137.127 113.45972 24.10432
14226 59458.29463447916 84.586 255.17648 42.99055
11421 59458.295613483795 159.565 111.34884 20.95662
14554 59458.29746030093 115.179 251.5528 46.13826
14712 59458.2987933912 134.739 249.93629 47.71211
14864 59458.30035287037 137.336 247.5 49.28596
15012 59458.30194240741 140.083 244.89796 50.85982
15154 59458.303563738424 590.105 242.11269 52.43367
15674 59458.310393657404 155.161 228.68852 58.72908
15792 59458.312189502314 190.192 224.61539 60.30293
15903 59458.31439079861 903.532 218.91893 61.8768
5999 59458.324848344906 421.301 92.45454 -16.81585
5133 59458.32972451389 188.164 89.15095 -23.11126
15886 59458.331902337966 12.55 163.78378 61.8768
4714 59458.332047592594 117.694 87.82609 -26.25896
4509 59458.33340979167 89.856 86.47059 -27.83282
15770 59458.33444979167 177.994 156.92308 60.30293
15648 59458.33650990741 41.884 151.96721 58.72908
3911 59458.33699467593 119.65 84.00001 -32.55437
3718 59458.33837951389 109.298 82.5 -34.12823
3528 59458.33964453704 0.499 81.38297 -35.70208
15391 59458.3396503125 109.439 145.90909 55.58138
3343 59458.340916967594 57.062 80.21739 -37.27593
15255 59458.34157740741 64.742 141.89781 54.00752
3160 59458.342326736114 111.316 78.56354 -38.84978
2982 59458.343615115744 80.564 77.28814 -40.42364
14968 59458.344547569446 31.424 137.14285 50.85982
2807 59458.34491127315 101.332 75.95375 -41.99749
2638 59458.346084097226 116.38 75.0 -43.57134
14661 59458.34743108796 129.822 132.99362 47.71211
14500 59458.348933657406 143.66 130.80745 46.13826
2153 59458.35059638889 105.271 68.51613 -48.2929
2002 59458.35181480324 97.42 67.2 -49.86675
13993 59458.352942349535 124.912 126.20689 41.4167
13815 59458.35438809028 176.385 124.38203 39.84285
1573 59458.356429583335 169.516 59.55882 -54.58831
1441 59458.358391574075 112.536 55.38462 -56.16217
1314 59458.359694074075 189.714 53.28 -57.73602
1192 59458.361889837965 195.902 48.0 -59.30987
1074 59458.36415722222 43.785 42.26087 -60.88372
12267 59458.36466399305 103.406 115.02439 27.25203
12060 59458.36586082176 45.81 114.23077 25.67818
963 59458.36639103009 57.328 36.33028 -62.45758
11849 59458.36705454861 231.561 113.45972 24.10432
856 59458.36973465278 79.296 26.21359 -64.03143
11205 59458.37065243055 10.618 111.15208 19.38277
855 59458.370775324074 639.216 22.71844 -64.03143
951 59458.37817365741 89.373 358.25241 -64.03143
950 59458.37920806713 234.055 354.75726 -64.03143
1057 59458.38191703703 224.067 346.789 -62.45758
1169 59458.38451040509 219.088 339.65216 -60.88372
1287 59458.387046145835 137.566 333.0 -59.30987
1410 59458.388638344906 135.384 329.76001 -57.73602
1539 59458.39020528935 925.907 326.76923 -56.16217
5562 59458.40092180556 101.082 92.07373 -19.96355
2747 59458.40209173611 14.511 308.57141 -43.57134
5347 59458.4022596875 104.276 90.84112 -21.53741
2918 59458.403466585645 106.637 306.9364 -41.99749
4923 59458.404700810184 18.635 89.14286 -24.68511
3094 59458.404916493055 98.335 305.08475 -40.42364
4714 59458.40605462963 308.504 87.82609 -26.25896
4108 59458.409625277774 118.923 85.45455 -30.98052
3911 59458.41100170139 228.955 84.00001 -32.55437
3528 59458.41365164352 109.937 81.38297 -35.70208
3343 59458.4149240625 446.424 80.21739 -37.27593
2638 59458.42009100694 113.327 75.0 -43.57134
2472 59458.42140266204 114.022 73.53659 -45.1452
2311 59458.42272236111 267.813 72.0 -46.71905
2002 59458.42582204861 117.461 67.2 -49.86675
1854 59458.42718155093 106.763 65.34247 -51.44061
1712 59458.428417233794 273.158 63.82978 -53.01446
1442 59458.43157878472 183.371 58.15385 -56.16217
1314 59458.43370113426 305.635 53.28 -57.73602
1075 59458.437238576385 189.091 45.3913 -60.88372
964 59458.43942712963 83.925 39.63303 -62.45758
963 59458.4403984838 200.033 36.33028 -62.45758
857 59458.44271368055 88.836 29.70874 -64.03143
856 59458.443741875 818.451 26.21359 -64.03143
950 59458.4532146875 234.155 354.75726 -64.03143
1057 59458.455924814814 83.854 346.789 -62.45758
1056 59458.45689534722 140.205 343.48624 -62.45758
1169 59458.45851809028 218.972 339.65216 -60.88372
1287 59458.46105248843 46.255 333.0 -59.30987
12952 59458.461587847225 91.401 264.48978 31.97359
1410 59458.46264572917 4.292 329.76001 -57.73602
13145 59458.46269540509 108.611 263.93784 33.54744
13335 59458.46395247685 345.101 262.85715 35.12129
1812 59458.46794670139 126.774 319.14893 -53.01446
1956 59458.46941399306 687.907 316.8493 -51.44061
15013 59458.47737587963 8.528 247.34694 50.85982
2918 59458.477474583335 125.191 306.9364 -41.99749
3094 59458.47892355324 3.892 305.08475 -40.42364
15155 59458.478968599535 140.396 244.64789 52.43367
15293 59458.48059355324 143.311 241.75183 54.00752
15425 59458.48225224537 295.711 238.63637 55.58138
15675 59458.48567482639 152.434 231.63934 58.72908
15793 59458.487439108794 186.161 227.69231 60.30293
15904 59458.48959375 1677.61 222.16217 61.8768
15885 59458.509010532405 137.985 160.54054 61.8768
15770 59458.51060758102 177.957 156.92308 60.30293
15648 59458.51266726852 172.885 151.96721 58.72908
15522 59458.51466825231 265.02 147.40158 57.15523
15255 59458.51773561342 161.306 141.89781 54.00752
15113 59458.51960258102 95.418 138.16902 52.43367
14968 59458.52070695602 155.345 137.14285 50.85982
14816 59458.52250493056 93.807 133.81578 49.28596
14661 59458.52359065972 129.682 132.99362 47.71211
14500 59458.5250916088 346.426 130.80745 46.13826
13993 59458.529101168984 124.712 126.20689 41.4167
13815 59458.530544594905 532.039 124.38203 39.84285
13145 59458.536702453704 108.609 263.93784 33.54744
13335 59458.53795950231 453.693 262.85715 35.12129
11849 59458.543210578704 89.603 113.45972 24.10432
11637 59458.54424765046 221.408 113.23943 22.53047
11205 59458.54681024305 260.068 111.15208 19.38277
14865 59458.54982028935 134.995 249.86842 49.28596
15013 59458.55138273148 137.633 247.34694 50.85982
15155 59458.55297570602 140.415 244.64789 52.43367
15293 59458.55460087963 143.324 241.75183 54.00752
