FieldId date-obs deltaT[sec] RA Dec
1952 59464.901246724534 92.038 306.9863 -51.44061
2102 59464.90231197917 194.067 307.20001 -49.86675
2415 59464.904558125 287.539 306.0 -46.71905
2917 59464.90788612269 92.343 304.85547 -41.99749
3094 59464.908954907405 1615.759 305.08475 -40.42364
1213 59464.92765582176 196.839 111.0 -59.30987
985 59464.929934050924 284.184 108.99082 -62.45758
686 59464.933223217595 395.63 107.6087 -67.17914
368 59464.93780226852 307.006 101.73914 -73.47455
193 59464.9413555787 343.611 93.6 -78.19611
72 59464.94533255787 224.242 73.125 -82.91766
43 59464.94792795139 79.359 41.53846 -84.49152
42 59464.948846458334 78.581 27.69231 -84.49152
41 59464.949755960646 431.834 13.84615 -84.49152
176 59464.954754039354 205.202 331.36362 -79.76996
280 59464.9571290625 113.512 324.64285 -76.62225
342 59464.9584428588 196.406 320.0 -75.0484
484 59464.96071607639 197.493 316.80002 -71.9007
648 59464.963001875 387.64 313.95349 -68.75299
1046 59464.967488449074 193.648 310.45871 -62.45758
1279 59464.96972974537 195.009 309.0 -59.30987
1532 59464.97198679398 282.281 307.38461 -56.16217
1952 59464.97525393518 286.123 306.9863 -51.44061
2415 59464.978565543985 170.214 306.0 -46.71905
15925 59464.980535613424 117.272 290.27026 61.8768
2917 59464.98189292824 3302.371 304.85547 -41.99749
15761 59465.02011481481 97.658 129.23077 60.30293
15640 59465.02124511574 97.377 128.36066 58.72908
15515 59465.02237216435 568.523 127.55906 57.15523
14658 59465.028952291665 478.091 126.11465 47.71211
13815 59465.034485752316 92.581 124.38203 39.84285
13635 59465.03555729167 192.148 124.61539 38.269
13262 59465.03778122685 191.861 123.80952 35.12129
12875 59465.04000184028 188.478 123.06122 31.97359
12476 59465.04218329861 188.477 122.97029 28.82588
12065 59465.04436474537 879.372 122.88462 25.67818
15925 59465.05454266204 71.062 290.27026 61.8768
9876 59465.05536513889 474.801 121.06194 9.93965
8734 59465.06086052083 2873.792 120.26201 2.07039
15761 59465.094122002316 97.616 129.23077 60.30293
15640 59465.09525181713 97.331 128.36066 58.72908
15515 59465.096378333335 568.664 127.55906 57.15523
14658 59465.10296009259 165.943 126.11465 47.71211
1096 59465.104880729166 191.002 111.13043 -60.88372
880 59465.10709140046 92.139 110.09708 -64.03143
781 59465.10815782408 28.928 110.20408 -65.60529
13815 59465.10849263889 92.693 124.38203 39.84285
13635 59465.10956547454 177.131 124.61539 38.269
516 59465.111615601854 14.926 105.75 -70.32684
13262 59465.11178835648 76.94 123.80952 35.12129
440 59465.11267886574 15.825 105.60001 -71.9007
13070 59465.11286202546 99.001 124.04144 33.54744
12875 59465.11400787037 79.584 123.06122 31.97359
304 59465.11492898148 104.844 102.85715 -75.0484
245 59465.116142453706 4.124 99.64285 -76.62225
12476 59465.11619018519 188.551 122.97029 28.82588
12065 59465.118372488425 7.517 122.88462 25.67818
147 59465.11845949074 125.517 94.09091 -79.76996
107 59465.11991223379 284.97 85.26316 -81.34381
44 59465.12321049769 150.201 55.38462 -84.49152
10773 59465.12494893518 95.594 122.17194 16.23506
10550 59465.126055347224 60.906 121.88341 14.66121
40 59465.12676027778 144.844 0.0 -84.49152
96 59465.12843671296 80.793 343.125 -82.91766
9876 59465.12937181713 51.404 121.06194 9.93965
133 59465.12996677083 41.448 331.57895 -81.34381
9649 59465.13044649306 163.042 121.32159 8.3658
225 59465.13233355324 120.796 324.0 -78.19611
8964 59465.13373165509 75.111 121.04803 3.64424
342 59465.13460099537 111.729 320.0 -75.0484
409 59465.13589415509 388.82 315.65219 -73.47455
738 59465.14039438657 384.695 311.08694 -67.17914
1159 59465.144846875 89.974 308.34781 -60.88372
1279 59465.14588824074 194.793 309.0 -59.30987
1532 59465.14814278935 192.003 307.38461 -56.16217
1807 59465.1503650463 285.853 306.38297 -53.01446
2255 59465.15367353009 378.223 305.41934 -48.2929
2917 59465.15805111111 2083.428 304.85547 -41.99749
781 59465.18216486111 191.483 110.20408 -65.60529
599 59465.184381099534 199.14 108.83721 -68.75299
440 59465.186685960645 194.401 105.60001 -71.9007
304 59465.18893597222 305.032 102.85715 -75.0484
147 59465.19246643518 206.368 94.09091 -79.76996
73 59465.194854953705 136.437 84.375 -82.91766
45 59465.19643408565 374.409 69.23077 -84.49152
40 59465.20076752315 277.002 0.0 -84.49152
133 59465.203973564814 204.541 331.57895 -81.34381
225 59465.2063409375 115.277 324.0 -78.19611
279 59465.20767516203 192.298 318.21429 -76.62225
409 59465.20990083333 196.463 315.65219 -73.47455
562 59465.21217471065 192.355 312.75 -70.32684
738 59465.21440104167 193.817 311.08694 -67.17914
937 59465.21664429398 190.864 309.32037 -64.03143
1159 59465.21885336805 284.826 308.34781 -60.88372
1532 59465.22214996528 191.964 307.38461 -56.16217
1807 59465.22437177083 285.846 306.38297 -53.01446
2255 59465.22768017361 286.932 305.41934 -48.2929
2745 59465.23100114583 91.389 304.28571 -43.57134
2917 59465.23205888889 3214.328 304.85547 -41.99749
15875 59465.26926175926 282.88 128.10811 61.8768
15515 59465.272535833334 96.956 127.55906 57.15523
15384 59465.27365800926 96.723 126.81818 55.58138
15249 59465.27477748843 760.089 126.13139 54.00752
13992 59465.28357481481 92.973 124.13792 41.4167
13815 59465.284650891204 284.77 124.38203 39.84285
13262 59465.287946840275 191.523 123.80952 35.12129
12875 59465.290163541664 188.706 123.06122 31.97359
12476 59465.29234763889 188.705 122.97029 28.82588
12065 59465.29453172454 568.309 122.88462 25.67818
10773 59465.301109375 95.482 122.17194 16.23506
10550 59465.30221449074 199.9 121.88341 14.66121
15926 59465.304528148146 86.329 293.51349 61.8768
9876 59465.30552732639 93.126 121.06194 9.93965
9649 59465.30660517361 283.901 121.32159 8.3658
8964 59465.30989106481 2883.797 121.04803 3.64424
15875 59465.34326834491 282.988 128.10811 61.8768
15515 59465.34654366898 96.904 127.55906 57.15523
15384 59465.347665243055 96.668 126.81818 55.58138
15249 59465.34878408565 96.456 126.13139 54.00752
15108 59465.34990047454 663.63 125.49297 52.43367
13992 59465.35758137731 93.076 124.13792 41.4167
13815 59465.35865864583 57.966 124.38203 39.84285
687 59465.35932954861 190.837 111.52174 -67.17914
517 59465.361538310186 35.963 110.25 -70.32684
13262 59465.361954548614 161.867 123.80952 35.12129
369 59465.36382800926 29.545 106.95653 -73.47455
12875 59465.36416996528 188.762 123.06122 31.97359
12476 59465.36635471065 78.869 122.97029 28.82588
194 59465.367267546295 109.892 100.8 -78.19611
12065 59465.36853944445 88.998 122.88462 25.67818
108 59465.36956951389 124.681 94.73685 -81.34381
73 59465.37101258102 259.187 84.375 -82.91766
10993 59465.374012430555 15.345 122.46575 17.80891
23 59465.37419003472 77.119 47.36842 -86.06537
22 59465.37508261574 2.997 28.42105 -86.06537
10773 59465.37511730324 73.058 122.17194 16.23506
21 59465.375962881946 22.372 9.47368 -86.06537
10550 59465.37622181713 124.012 121.88341 14.66121
65 59465.3776571412 131.722 346.15387 -84.49152
95 59465.37918170139 123.589 331.875 -82.91766
9649 59465.38061212963 79.97 121.32159 8.3658
175 59465.38153770833 13.259 323.18182 -79.76996
9422 59465.38169116898 185.01 121.57895 6.79195
279 59465.38383248843 5.677 318.21429 -76.62225
8964 59465.38389819444 100.954 121.04803 3.64424
341 59465.38506664352 87.598 314.28574 -75.0484
8506 59465.38608050926 105.309 121.04803 0.49654
483 59465.38729936343 89.317 312.0 -71.9007
562 59465.388333125 386.135 312.75 -70.32684
937 59465.39280228009 190.902 309.32037 -64.03143
1159 59465.39501179398 193.956 308.34781 -60.88372
1402 59465.397256655095 191.518 306.72 -57.73602
1666 59465.39947329861 91.337 305.73526 -54.58831
1807 59465.400530439816 285.811 306.38297 -53.01446
2255 59465.4038384375 286.716 305.41934 -48.2929
2745 59465.40715690972 2261.927 304.28571 -43.57134
687 59465.43333662037 190.835 111.52174 -67.17914
517 59465.4355453588 92.13 110.25 -70.32684
441 59465.43661167824 191.332 110.4 -71.9007
305 59465.43882616898 100.569 108.57143 -75.0484
246 59465.439990162035 194.25 106.07143 -76.62225
148 59465.44223842592 115.623 102.27273 -79.76996
108 59465.443576655096 205.015 94.73685 -81.34381
46 59465.44594951389 124.259 83.07693 -84.49152
24 59465.44738769676 69.937 66.31579 -86.06537
23 59465.44819715278 153.16 47.36842 -86.06537
21 59465.449969837966 278.106 9.47368 -86.06537
95 59465.453188657404 316.885 331.875 -82.91766
224 59465.45685630787 191.552 316.79999 -78.19611
341 59465.45907334491 192.921 314.28574 -75.0484
483 59465.461306226855 194.027 312.0 -71.9007
647 59465.46355190972 191.021 309.76746 -68.75299
835 59465.46576280092 192.274 308.57141 -65.60529
1045 59465.46798819445 474.472 307.15594 -62.45758
1666 59465.473479768516 285.486 305.73526 -54.58831
2101 59465.476784004626 285.142 304.80002 -49.86675
2577 59465.48008425926 93.267 304.02441 -45.1452
2745 59465.48116373843 3406.567 304.28571 -43.57134
15760 59465.520591597226 375.92 126.15385 60.30293
15249 59465.524942523145 96.316 126.13139 54.00752
15108 59465.52605729167 96.124 125.49297 52.43367
14963 59465.527169837966 95.955 124.89796 50.85982
14812 59465.52828042824 189.157 124.34211 49.28596
14497 59465.53046974537 189.13 124.09938 46.13826
14164 59465.53265875 93.339 123.88235 42.99055
13992 59465.5337390625 569.166 124.13792 41.4167
12875 59465.54032663194 188.874 123.06122 31.97359
12476 59465.54251267361 188.873 122.97029 28.82588
12065 59465.54469870371 568.305 122.88462 25.67818
10773 59465.55127630787 95.298 122.17194 16.23506
10550 59465.55237929398 93.451 121.88341 14.66121
10327 59465.553460902775 285.757 122.14285 13.08736
9649 59465.55676827546 93.483 121.32159 8.3658
9422 59465.55785025463 190.447 121.57895 6.79195
8964 59465.56005450231 188.684 121.04803 3.64424
8506 59465.56223834491 2795.856 121.04803 0.49654
15760 59465.59459778935 472.348 126.15385 60.30293
15108 59465.60006478009 96.061 125.49297 52.43367
14963 59465.60117659722 95.889 124.89796 50.85982
14812 59465.602286423615 189.179 124.34211 49.28596
14497 59465.60447599537 189.153 124.09938 46.13826
14164 59465.606665266205 93.433 123.88235 42.99055
13992 59465.60774666667 238.697 124.13792 41.4167
600 59465.610509363425 139.407 113.02325 -68.75299
13262 59465.61212287037 190.999 123.80952 35.12129
12875 59465.61433350694 56.186 123.06122 31.97359
305 59465.61498380787 132.727 108.57143 -75.0484
12476 59465.61652 53.035 122.97029 28.82588
195 59465.617133831016 109.064 108.0 -78.19611
148 59465.61839614583 26.812 102.27273 -79.76996
12065 59465.618706469904 170.49 122.88462 25.67818
74 59465.620679733795 247.572 95.625 -82.91766
24 59465.62354515046 54.942 66.31579 -86.06537
10993 59465.62418105324 95.266 122.46575 17.80891
10773 59465.62528366898 95.238 122.17194 16.23506
10550 59465.62638596065 44.268 121.88341 14.66121
39 59465.62689832176 49.289 350.52634 -86.06537
10327 59465.627468796294 79.864 122.14285 13.08736
64 59465.628393148145 202.24 332.30771 -84.49152
132 59465.63073388889 97.068 322.10526 -81.34381
9422 59465.63185736111 93.583 121.57895 6.79195
9193 59465.632940497686 6.345 121.83406 5.21809
224 59465.633013935185 279.145 316.79999 -78.19611
8506 59465.63624478009 17.555 121.04803 0.49654
408 59465.63644796296 281.87 310.43481 -73.47455
647 59465.63971034722 191.036 309.76746 -68.75299
835 59465.64192141204 192.16 308.57141 -65.60529
1045 59465.64414548611 191.491 307.15594 -62.45758
1278 59465.64636181713 283.059 306.0 -59.30987
1666 59465.64963796296 191.99 305.73526 -54.58831
1951 59465.65186006945 93.406 304.52054 -51.44061
2101 59465.65294115741 285.039 304.80002 -49.86675
2577 59465.656240219905 93.485 304.02441 -45.1452
2745 59465.65732222222 2438.163 304.28571 -43.57134
518 59465.68554170139 193.917 114.75 -70.32684
370 59465.68778611111 289.847 112.17392 -73.47455
195 59465.69114082176 192.82 108.0 -78.19611
109 59465.69337253472 195.419 104.21053 -81.34381
47 59465.6956343287 110.196 96.92308 -84.49152
25 59465.69690974537 199.903 85.26316 -86.06537
9 59465.6992234375 274.482 27.69231 -87.63922
64 59465.7024003125 117.769 332.30771 -84.49152
94 59465.70376337963 195.416 320.625 -82.91766
174 59465.70602513889 192.997 315.0 -79.76996
278 59465.708258900464 189.731 311.78571 -76.62225
408 59465.71045486111 192.885 310.43481 -73.47455
561 59465.71268732639 190.432 308.25 -70.32684
737 59465.714891400465 191.38 307.17392 -67.17914
936 59465.71710644676 189.748 305.82523 -64.03143
1158 59465.719302604164 92.135 305.21738 -60.88372
1278 59465.720368981485 191.976 306.0 -59.30987
1531 59465.72259092593 283.026 304.61539 -56.16217
1951 59465.72586668981 93.489 304.52054 -51.44061
2101 59465.726948738426 191.376 304.80002 -49.86675
2414 59465.729163738426 93.611 303.75 -46.71905
2577 59465.73024719908 285.495 304.02441 -45.1452
3093 59465.73355153935 3214.423 303.05084 -40.42364
15760 59465.77075550926 191.935 126.15385 60.30293
15514 59465.77297697917 472.289 124.72441 57.15523
14812 59465.77844328704 95.572 124.34211 49.28596
14657 59465.77954944444 93.644 123.82166 47.71211
14497 59465.78063328704 95.514 124.09938 46.13826
14333 59465.78173877315 93.678 123.61446 44.56441
14164 59465.78282300926 379.786 123.88235 42.99055
13449 59465.787218680554 282.759 122.90322 36.69514
12875 59465.790491354164 188.982 123.06122 31.97359
12476 59465.792678645834 188.982 122.97029 28.82588
12065 59465.7948659375 473.011 122.88462 25.67818
10993 59465.800340601854 95.112 122.46575 17.80891
10773 59465.801441435186 95.085 122.17194 16.23506
10550 59465.80254195602 93.798 121.88341 14.66121
10327 59465.803627581015 378.974 122.14285 13.08736
9422 59465.80801385417 93.816 121.57895 6.79195
9193 59465.8090996875 188.829 121.83406 5.21809
8735 59465.811285208336 2988.542 121.83406 2.07039
15639 59465.84587481481 95.792 125.40984 58.72908
15514 59465.84698351852 472.368 124.72441 57.15523
14812 59465.85245074074 95.501 124.34211 49.28596
14657 59465.85355607639 93.726 123.82166 47.71211
14497 59465.854640868056 95.44 124.09938 46.13826
14333 59465.85574549768 93.762 123.61446 44.56441
14164 59465.85683070602 379.653 123.88235 42.99055
13449 59465.861224837965 40.997 122.90322 36.69514
518 59465.861699340276 241.87 114.75 -70.32684
12875 59465.86449876158 40.32 123.06122 31.97359
306 59465.86496542824 97.323 114.28572 -75.0484
247 59465.86609185185 51.361 112.5 -76.62225
12476 59465.86668630787 139.037 122.97029 28.82588
149 59465.868295532404 49.965 110.45454 -79.76996
12065 59465.868873831016 141.343 122.88462 25.67818
75 59465.87050974537 110.772 106.875 -82.91766
47 59465.8717918287 110.205 96.92308 -84.49152
25 59465.87306734954 15.597 85.26316 -86.06537
11212 59465.87324787037 95.075 122.76498 19.38277
10993 59465.874348275465 22.42 122.46575 17.80891
10 59465.87460776621 66.822 55.38462 -87.63922
9 59465.87538116898 5.8 27.69231 -87.63922
10773 59465.87544829861 58.779 122.17194 16.23506
8 59465.87612861111 130.133 0.0 -87.63922
10327 59465.877634780096 0.202 122.14285 13.08736
38 59465.87763711806 93.68 331.57895 -86.06537
10102 59465.87872137732 103.656 122.4 11.5135
94 59465.879921099535 275.247 320.625 -82.91766
9193 59465.8831068287 188.863 121.83406 5.21809
8735 59465.885292743056 24.888 121.83406 2.07039
340 59465.88558079861 190.42 308.57144 -75.0484
482 59465.88778473379 91.66 307.20001 -71.9007
561 59465.88884561342 190.425 308.25 -70.32684
737 59465.89104960648 191.239 307.17392 -67.17914
936 59465.89326302084 189.73 305.82523 -64.03143
1158 59465.895458969906 284.123 305.21738 -60.88372
1531 59465.898747430554 190.216 304.61539 -56.16217
1806 59465.90094900463 92.977 303.82977 -53.01446
1951 59465.90202512732 284.718 304.52054 -51.44061
2414 59465.905320474536 93.807 303.75 -46.71905
2577 59465.90640620371 285.162 304.02441 -45.1452
3093 59465.90970668982 2528.567 303.05084 -40.42364
306 59465.938972511576 185.885 114.28572 -75.0484
196 59465.941123958335 101.843 115.2 -78.19611
149 59465.942302696756 191.293 110.45454 -79.76996
75 59465.94451673611 300.254 106.875 -82.91766
11 59465.947991898145 315.573 83.07693 -87.63922
38 59465.95164436343 111.813 331.57895 -86.06537
63 59465.95293849537 193.591 318.46155 -84.49152
131 59465.955179131946 191.674 312.63159 -81.34381
223 59465.95739758102 189.24 309.60001 -78.19611
340 59465.95958785879 190.415 308.57144 -75.0484
482 59465.96179173611 191.081 307.20001 -71.9007
646 59465.96400332176 189.634 305.58139 -68.75299
834 59465.966198159724 92.656 304.89795 -65.60529
936 59465.96727056713 189.721 305.82523 -64.03143
1158 59465.96946641204 191.037 305.21738 -60.88372
1401 59465.97167748843 93.085 303.84003 -57.73602
1531 59465.97275486111 190.14 304.61539 -56.16217
1806 59465.97495555555 284.387 303.82977 -53.01446
2254 59465.97824707176 93.378 303.09677 -48.2929
2414 59465.979327835645 378.899 303.75 -46.71905
3093 59465.98371324074 3123.389 303.05084 -40.42364
15874 59466.01986357639 378.686 124.86486 61.8768
15383 59466.0242465162 95.249 124.09091 55.58138
15248 59466.02534893518 377.178 123.50365 54.00752
14657 59466.0297144213 189.169 123.82166 47.71211
14333 59466.031903877316 379.168 123.61446 44.56441
13634 59466.03629239583 94.091 122.63736 38.269
13449 59466.03738141204 283.093 122.90322 36.69514
12875 59466.04065795139 189.033 123.06122 31.97359
12476 59466.04284583333 189.03 122.97029 28.82588
12065 59466.04503368056 472.893 122.88462 25.67818
10993 59466.05050697917 94.867 122.46575 17.80891
10773 59466.05160497685 94.842 122.17194 16.23506
10550 59466.052702685185 94.118 121.88341 14.66121
10327 59466.05379201389 94.103 122.14285 13.08736
10102 59466.05488116898 378.624 122.4 11.5135
9193 59466.0592633912 188.926 121.83406 5.21809
8735 59466.06145003472 2801.193 121.83406 2.07039
15874 59466.09387125 378.669 124.86486 61.8768
15383 59466.098253993056 95.176 124.09091 55.58138
15248 59466.09935556713 377.302 123.50365 54.00752
14657 59466.10372248843 189.166 123.82166 47.71211
14333 59466.10591190972 379.007 123.61446 44.56441
13634 59466.11029856482 94.167 122.63736 38.269
13449 59466.111388460646 223.918 122.90322 36.69514
371 59466.113980104165 59.258 117.39131 -73.47455
12875 59466.114665960646 189.037 123.06122 31.97359
12476 59466.11685388889 36.951 122.97029 28.82588
196 59466.1172815625 152.082 115.2 -78.19611
12065 59466.119041770835 37.362 122.88462 25.67818
110 59466.11947420139 189.834 113.68421 -81.34381
48 59466.121671354165 99.462 110.76923 -84.49152
26 59466.12282253472 51.352 104.21053 -86.06537
11212 59466.12341688658 94.82 122.76498 19.38277
10993 59466.12451434028 83.91 122.46575 17.80891
1 59466.12548552083 10.879 25.71428 -89.21307
10773 59466.125611435185 106.334 122.17194 16.23506
20 59466.12684215278 82.637 332.30771 -87.63922
10327 59466.12779859954 94.192 122.14285 13.08736
10102 59466.128888784726 122.494 122.4 11.5135
93 59466.13030653935 190.335 309.375 -82.91766
173 59466.132509490744 189.785 306.81818 -79.76996
277 59466.13470607639 64.822 305.35715 -76.62225
8735 59466.135456331016 123.974 121.83406 2.07039
407 59466.136891215276 157.451 305.21741 -73.47455
16130 59466.13871356482 125.098 304.57971 -70.85883
646 59466.14016145833 189.602 305.58139 -68.75299
834 59466.14235592593 190.011 304.89795 -65.60529
1044 59466.144555127314 283.338 303.85321 -62.45758
1401 59466.14783450231 189.653 303.84003 -57.73602
1665 59466.15002956019 93.693 303.08823 -54.58831
1806 59466.15111396991 284.19 303.82977 -53.01446
2254 59466.15440320602 472.418 303.09677 -48.2929
3093 59466.159871006945 2616.067 303.05084 -40.42364
248 59466.190149560185 377.738 118.92857 -76.62225
76 59466.19452152778 285.226 118.125 -82.91766
12 59466.19782275463 144.257 110.76923 -87.63922
1 59466.199492395834 34.71 25.71428 -89.21307
7 59466.19989413195 192.288 334.28571 -89.21307
37 59466.2021196875 189.555 312.63159 -86.06537
93 59466.20431361111 190.328 309.375 -82.91766
173 59466.206516481485 189.772 306.81818 -79.76996
277 59466.20871291667 188.825 305.35715 -76.62225
407 59466.210898391204 157.44 305.21741 -73.47455
16130 59466.212720613425 32.529 304.57971 -70.85883
560 59466.21309710648 189.208 303.75 -70.32684
736 59466.21528701389 282.988 303.26086 -67.17914
1044 59466.21856233796 189.554 303.85321 -62.45758
1277 59466.22075625 283.393 303.0 -59.30987
1665 59466.22403626158 283.837 303.08823 -54.58831
2100 59466.227321412036 94.087 302.40002 -49.86675
2254 59466.22841038195 472.461 303.09677 -48.2929
3093 59466.233878680556 3219.702 303.05084 -40.42364
15759 59466.27114375 94.703 123.07693 60.30293
15638 59466.27223984954 377.737 122.45902 58.72908
15107 59466.27661180556 94.687 122.95775 52.43367
14962 59466.277707719906 661.415 122.44898 50.85982
13814 59466.28536298611 94.376 122.35955 39.84285
13634 59466.28645530093 94.342 122.63736 38.269
13449 59466.28754722222 189.271 122.90322 36.69514
13069 59466.289737858795 188.988 122.17616 33.54744
12676 59466.291925219906 755.756 122.11056 30.39973
10993 59466.30067239583 94.591 122.46575 17.80891
10773 59466.301767199075 188.979 122.17194 16.23506
10327 59466.303954456016 94.394 122.14285 13.08736
10102 59466.30504697916 94.382 122.4 11.5135
9877 59466.30613936343 377.962 122.65486 9.93965
8965 59466.310513923614 188.975 122.62009 3.64424
8507 59466.31270113426 2803.668 122.62009 0.49654
15759 59466.345150995374 94.628 123.07693 60.30293
15638 59466.34624622685 377.827 122.45902 58.72908
15107 59466.35061922454 94.605 122.95775 52.43367
14962 59466.35171418981 661.411 122.44898 50.85982
13814 59466.35936940972 94.444 122.35955 39.84285
13634 59466.36046251158 283.506 122.63736 38.269
13069 59466.36374383102 314.55 122.17616 33.54744
197 59466.36738445602 157.774 122.39999 -78.19611
12065 59466.369210543984 314.726 122.88462 25.67818
27 59466.37285320602 63.259 123.1579 -86.06537
11212 59466.37358537037 34.137 122.76498 19.38277
12 59466.373980474535 60.397 110.76923 -87.63922
10993 59466.37467951389 31.453 122.46575 17.80891
3 59466.37504355324 63.051 128.57143 -89.21307
10773 59466.37577331019 24.055 122.17194 16.23506
7 59466.37605172454 101.513 334.28571 -89.21307
19 59466.37722664352 157.88 304.61539 -87.63922
10102 59466.379053958335 30.977 122.4 11.5135
62 59466.37941248842 63.485 304.61539 -84.49152
9877 59466.380147268515 125.709 122.65486 9.93965
130 59466.3816022338 189.038 303.1579 -81.34381
222 59466.38379017361 63.209 302.39999 -78.19611
8965 59466.38452175926 125.763 122.62009 3.64424
339 59466.385977349535 63.214 302.85715 -75.0484
8507 59466.38670899306 125.808 122.62009 0.49654
481 59466.38816510417 63.169 302.40002 -71.9007
8049 59466.388896226854 31.039 122.62009 -2.65117
560 59466.38925547454 189.159 303.75 -70.32684
736 59466.39144481481 189.126 303.26086 -67.17914
935 59466.39363377315 130.953 302.33008 -64.03143
16072 59466.39514943287 58.02 302.38239 -61.85047
1157 59466.39582096065 94.456 302.08694 -60.88372
1277 59466.39691420139 283.472 303.0 -59.30987
1665 59466.40019512732 189.055 303.08823 -54.58831
1950 59466.40238326389 94.542 302.05478 -51.44061
2100 59466.4034775 90.247 302.40002 -49.86675
16121 59466.40452202546 287.723 302.29837 -48.36361
2744 59466.40785215278 2897.802 302.14285 -43.57134
197 59466.44139152778 378.209 122.39999 -78.19611
49 59466.44576894676 94.289 124.61539 -84.49152
27 59466.44686025463 189.243 123.1579 -86.06537
3 59466.44905056713 91.477 128.57143 -89.21307
6 59466.4501093287 188.943 282.85715 -89.21307
36 59466.45229616898 190.548 293.68423 -86.06537
92 59466.45450158565 284.754 298.125 -82.91766
222 59466.45779734954 566.729 302.39999 -78.19611
645 59466.46435671296 188.868 301.39536 -68.75299
833 59466.466542685186 94.887 301.22449 -65.60529
935 59466.46764091435 130.959 302.33008 -64.03143
16072 59466.46915664352 57.984 302.38239 -61.85047
1157 59466.46982775463 283.395 302.08694 -60.88372
1530 59466.47310778935 283.565 301.84616 -56.16217
1950 59466.476389791664 94.601 302.05478 -51.44061
2100 59466.477484710646 90.228 302.40002 -49.86675
16121 59466.4785290162 193.04 302.29837 -48.36361
2576 59466.48076327546 94.644 301.82928 -45.1452
2744 59466.48185869213 3313.873 302.14285 -43.57134
15873 59466.520213703705 283.56 121.62162 61.8768
15513 59466.52349564815 94.133 121.88977 57.15523
15382 59466.524585150466 284.018 121.36364 55.58138
14962 59466.52787239583 94.275 122.44898 50.85982
14811 59466.52896354167 94.164 121.97369 49.28596
14656 59466.53005340278 94.719 121.52866 47.71211
14496 59466.5311496875 188.877 121.86336 46.13826
14163 59466.53333576389 94.681 121.76471 42.99055
13991 59466.534431608794 94.636 122.06896 41.4167
13814 59466.53552693287 377.821 122.35955 39.84285
13069 59466.53989986111 188.914 122.17616 33.54744
12676 59466.54208636574 188.911 122.11056 30.39973
12271 59466.54427283565 188.913 122.04878 27.25203
11854 59466.5464593287 283.924 121.99052 24.10432
11212 59466.54974548611 94.315 122.76498 19.38277
10993 59466.55083709491 94.286 122.46575 17.80891
10773 59466.551928368055 188.938 122.17194 16.23506
10327 59466.554115150466 94.657 122.14285 13.08736
10102 59466.55521071759 94.643 122.4 11.5135
9877 59466.556306122686 377.905 122.65486 9.93965
8965 59466.56068002315 188.962 122.62009 3.64424
8507 59466.56286708333 188.963 122.62009 0.49654
8049 59466.56505415509 2520.002 122.62009 -2.65117
15873 59466.594220844905 283.574 121.62162 61.8768
15513 59466.59750295139 94.05 121.88977 57.15523
15382 59466.59859149306 378.358 121.36364 55.58138
14811 59466.60297063657 94.074 121.97369 49.28596
14656 59466.60405945602 94.773 121.52866 47.71211
14496 59466.60515636574 188.84 121.86336 46.13826
14163 59466.607342013885 94.739 121.76471 42.99055
13991 59466.60843853009 94.696 122.06896 41.4167
13814 59466.60953454861 283.028 122.35955 39.84285
13261 59466.612810335646 94.723 121.90476 35.12129
13069 59466.613906666666 188.882 122.17616 33.54744
12676 59466.61609280093 188.879 122.11056 30.39973
12271 59466.61827890046 473.011 122.04878 27.25203
11212 59466.62375356482 36.339 122.76498 19.38277
13 59466.62417415509 57.88 138.46155 -87.63922
10993 59466.6248440625 206.14 122.46575 17.80891
18 59466.62722994213 105.719 276.9231 -87.63922
36 59466.62845354166 65.974 293.68423 -86.06537
10102 59466.62921712963 24.24 122.4 11.5135
61 59466.629497685186 70.475 290.76923 -84.49152
9877 59466.630313368056 29.877 122.65486 9.93965
92 59466.630659166665 64.829 298.125 -82.91766
9650 59466.63140950231 123.95 122.90749 8.3658
172 59466.6328441088 159.211 298.63635 -79.76996
8965 59466.6346868287 29.559 122.62009 3.64424
276 59466.63502894676 159.39 298.92856 -76.62225
8507 59466.636873738425 30.255 122.62009 0.49654
406 59466.63722391204 158.696 300.00003 -73.47455
8049 59466.639060671296 125.641 122.62009 -2.65117
645 59466.64051484954 188.795 301.39536 -68.75299
833 59466.64269997685 188.209 301.22449 -65.60529
1043 59466.64487832176 283.76 300.55045 -62.45758
1400 59466.64816258102 95.317 300.96002 -57.73602
1530 59466.64926578704 283.6 301.84616 -56.16217
1950 59466.65254819444 184.909 302.05478 -51.44061
16121 59466.654688344905 97.964 302.29837 -48.36361
2413 59466.6558221875 94.83 301.5 -46.71905
2576 59466.65691975695 94.78 301.82928 -45.1452
2744 59466.658016747686 3383.74 302.14285 -43.57134
28 59466.69718040509 350.488 142.10526 -86.06537
18 59466.70123697917 195.918 276.9231 -87.63922
61 59466.70350454861 378.943 290.76923 -84.49152
221 59466.70789046296 98.995 295.19998 -78.19611
276 59466.709036238426 91.845 298.92856 -76.62225
338 59466.71009925926 285.618 297.14285 -75.0484
559 59466.71340502315 188.725 299.25 -70.32684
735 59466.715589340274 284.756 299.34781 -67.17914
1043 59466.71888512732 283.762 300.55045 -62.45758
1400 59466.722169409724 188.052 300.96002 -57.73602
1664 59466.7243459375 473.726 300.44116 -54.58831
2413 59466.729828877316 94.883 301.5 -46.71905
