# FieldId Time[UTC] deltaT[sec] RA Dec
14800 2021-09-15T00:41:06.857 322.592 95.92106 49.28596
14322 2021-09-15T00:46:29.449 343.817 99.75903 44.56441
13805 2021-09-15T00:52:13.266 97.626 104.15730 39.84285
13625 2021-09-15T00:53:50.892 849.887 104.83517 38.26900
12059 2021-09-15T01:08:00.779 107.773 112.50000 25.67818
11849 2021-09-15T01:09:48.552 319.698 113.45972 24.10432
11208 2021-09-15T01:15:08.250 199.485 116.12904 19.38277
10770 2021-09-15T01:18:27.735 211.391 117.28507 16.23506
10325 2021-09-15T01:21:59.126 316.144 118.92857 13.08736
09649 2021-09-15T01:27:15.270 92.941 121.32159 8.36580
09422 2021-09-15T01:28:48.211 198.275 121.57895 6.79195
08965 2021-09-15T01:32:06.486 105.379 122.62009 3.64424
08736 2021-09-15T01:33:51.865 105.394 123.40611 2.07039
08508 2021-09-15T01:35:37.259 105.398 124.19214 0.49654
08279 2021-09-15T01:37:22.657 105.391 124.97816 -1.07732
08051 2021-09-15T01:39:08.048 105.374 125.76419 -2.65117
07822 2021-09-15T01:40:53.422 305.371 126.55022 -4.22502
07140 2021-09-15T01:45:58.793 200.219 128.45815 -8.94658
06689 2021-09-15T01:49:19.012 214.076 129.60001 -12.09428
06244 2021-09-15T01:52:53.088 310.079 131.35135 -15.24200
05587 2021-09-15T01:58:03.167 2100.468 133.54840 -19.96355
14322 2021-09-15T02:33:03.635 343.867 99.75903 44.56441
13805 2021-09-15T02:38:47.502 97.564 104.15730 39.84285
13625 2021-09-15T02:40:25.066 741.655 104.83517 38.26900
12265 2021-09-15T02:52:46.721 108.203 111.51220 27.25203
12059 2021-09-15T02:54:34.924 107.799 112.50000 25.67818
11849 2021-09-15T02:56:22.723 319.769 113.45972 24.10432
11208 2021-09-15T03:01:42.492 410.851 116.12904 19.38277
10325 2021-09-15T03:08:33.343 316.231 118.92857 13.08736
09649 2021-09-15T03:13:49.574 92.826 121.32159 8.36580
09422 2021-09-15T03:15:22.400 303.601 121.57895 6.79195
08736 2021-09-15T03:20:26.001 105.427 123.40611 2.07039
08508 2021-09-15T03:22:11.428 105.432 124.19214 0.49654
08279 2021-09-15T03:23:56.860 105.424 124.97816 -1.07732
08051 2021-09-15T03:25:42.284 410.742 125.76419 -2.65117
07140 2021-09-15T03:32:33.026 200.147 128.45815 -8.94658
06689 2021-09-15T03:35:53.173 214.168 129.60001 -12.09428
06244 2021-09-15T03:39:27.341 310.066 131.35135 -15.24200
05587 2021-09-15T03:44:37.407 110.106 133.54840 -19.96355
05373 2021-09-15T03:46:27.513 10678.82 134.57944 -21.53741
14485 2021-09-15T06:44:26.333 236.103 97.26708 46.13826
14153 2021-09-15T06:48:22.436 98.461 100.58824 42.99055
13981 2021-09-15T06:50:00.897 341.501 101.37930 41.41670
13440 2021-09-15T06:55:42.398 110.565 105.48387 36.69514
13253 2021-09-15T06:57:32.963 96.695 106.66666 35.12129
13061 2021-09-15T06:59:09.658 109.869 107.25388 33.54744
12867 2021-09-15T07:00:59.527 109.47 108.36735 31.97359
12669 2021-09-15T07:02:48.997 109.066 109.44724 30.39973
12469 2021-09-15T07:04:38.063 108.663 110.49505 28.82588
12265 2021-09-15T07:06:26.726 416.122 111.51220 27.25203
