field        ra       dec   eclip_l   eclip_b   galac_l   galac_b
00000 testfield testfield testfield testfield testfield testfield
00088 253.12500 -82.91766 265.91881 -59.71623 309.63404 -23.45819
00089 264.37500 -82.91766 268.62421 -59.50401 310.32645 -24.69038
00090 275.62500 -82.91766 271.35334 -59.50425 310.75474 -26.02008
00091 286.87500 -82.91766 274.05865 -59.71692 310.89492 -27.39929
00092 298.12500 -82.91766 276.69182 -60.13785 310.73127 -28.77663
00093 309.37500 -82.91766 279.20213 -60.75858 310.25831 -30.09884
00094 320.62500 -82.91766 281.53467 -61.56637 309.48279 -31.31265
00095 331.87500 -82.91766 283.62830 -62.54396 308.42573 -32.36695
00096 343.12500 -82.91766 285.41334 -63.66925 307.12368 -33.21541
00097 354.37500 -82.91766 286.80902 -64.91488 305.62880 -33.81928
00098   0.00000 -81.34381 290.92956 -65.09923 305.29140 -35.54751
00099   9.47368 -81.34381 291.81985 -66.47593 303.55960 -35.76793
00100  18.94737 -81.34381 292.20845 -67.89221 301.80525 -35.73111
00101  28.42105 -81.34381 291.98945 -69.31423 300.09132 -35.43839
00102  37.89474 -81.34381 291.04323 -70.70131 298.47803 -34.90048
00103  47.36842 -81.34381 289.24625 -72.00468 297.01907 -34.13659
00104  56.84211 -81.34381 286.49454 -73.16708 295.75882 -33.17321
00105  66.31579 -81.34381 282.74693 -74.12430 294.73084 -32.04242
00106  75.78947 -81.34381 278.08456 -74.81077 293.95767 -30.78024
00107  85.26316 -81.34381 272.76104 -75.17032 293.45151 -29.42497
00108  94.73685 -81.34381 267.19448 -75.16978 293.21549 -28.01584
00109 104.21053 -81.34381 261.87238 -74.80922 293.24513 -26.59183
00110 113.68421 -81.34381 257.21245 -74.12187 293.52975 -25.19078
00111 123.15790 -81.34381 253.46773 -73.16398 294.05363 -23.84865
00112 132.63158 -81.34381 250.71894 -72.00111 294.79701 -22.59892
00113 142.10527 -81.34381 248.92459 -70.69744 295.73675 -21.47210
00114 151.57895 -81.34381 247.98065 -69.31023 296.84685 -20.49525
00115 161.05263 -81.34381 247.76353 -67.88821 298.09892 -19.69160
00116 170.52632 -81.34381 248.15365 -66.47205 299.46254 -19.08010
00117 180.00000 -81.34381 249.04517 -65.09554 300.90563 -18.67513
00118 189.47369 -81.34381 250.34826 -63.78690 302.39493 -18.48619
00119 198.94737 -81.34381 251.98792 -62.56981 303.89644 -18.51770
00120 208.42105 -81.34381 253.90171 -61.46418 305.37600 -18.76893
00121 217.89474 -81.34381 256.03716 -60.48679 306.79977 -19.23400
00122 227.36842 -81.34381 258.34956 -59.65158 308.13478 -19.90197
00123 236.84210 -81.34381 260.80003 -58.96998 309.34938 -20.75715
00124 246.31580 -81.34381 263.35399 -58.45101 310.41369 -21.77932
00125 255.78947 -81.34381 265.97987 -58.10140 311.29995 -22.94411
00126 265.26315 -81.34381 268.64814 -57.92559 311.98295 -24.22345
00127 274.73685 -81.34381 271.33041 -57.92581 312.44044 -25.58592
00128 284.21054 -81.34381 273.99862 -58.10207 312.65374 -26.99727
00129 293.68420 -81.34381 276.62438 -58.45214 312.60845 -28.42095
00130 303.15790 -81.34381 279.17815 -58.97154 312.29553 -29.81873
00131 312.63159 -81.34381 281.62835 -59.65357 311.71253 -31.15143
00132 322.10526 -81.34381 283.94039 -60.48918 310.86500 -32.37997
00133 331.57895 -81.34381 286.07537 -61.46696 309.76800 -33.46654
00134 341.05264 -81.34381 287.98855 -62.57293 308.44716 -34.37608
00135 350.52631 -81.34381 289.62745 -63.79034 306.93922 -35.07793
00136   4.09091 -79.76996 294.99047 -65.22304 304.88044 -37.22524
00137  12.27273 -79.76996 295.92244 -66.62433 303.06302 -37.35769
00138  20.45454 -79.76996 296.43329 -68.06287 301.24187 -37.25840
00139  28.63636 -79.76996 296.43134 -69.51478 299.46869 -36.93028
00140  36.81818 -79.76996 295.80603 -70.95123 297.79237 -36.38289
00141  45.00000 -79.76996 294.42921 -72.33699 296.25636 -35.63176
00142  53.18182 -79.76996 292.16415 -73.62900 294.89678 -34.69754
00143  61.36364 -79.76996 288.88955 -74.77553 293.74150 -33.60482
00144  69.54546 -79.76996 284.54672 -75.71714 292.81001 -32.38102
00145  77.72727 -79.76996 279.20866 -76.39174 292.11399 -31.05531
00146  85.90909 -79.76996 273.14277 -76.74499 291.65824 -29.65768
00147  94.09091 -79.76996 266.80760 -76.74438 291.44180 -28.21819
00148 102.27273 -79.76996 260.74354 -76.38997 291.45906 -26.76637
00149 110.45454 -79.76996 255.40858 -75.71437 291.70069 -25.33079
00150 118.63637 -79.76996 251.06939 -74.77196 292.15443 -23.93869
00151 126.81818 -79.76996 247.79842 -73.62488 292.80566 -22.61575
00152 135.00000 -79.76996 245.53660 -72.33250 293.63779 -21.38580
00153 143.18182 -79.76996 244.16255 -70.94654 294.63255 -20.27062
00154 151.36363 -79.76996 243.53951 -69.51003 295.77016 -19.28974
00155 159.54546 -79.76996 243.53940 -68.05816 297.02950 -18.46023
00156 167.72726 -79.76996 244.05173 -66.61976 298.38823 -17.79644
00157 175.90909 -79.76996 244.98489 -65.21866 299.82298 -17.30985
00158 184.09091 -79.76996 246.26415 -63.87485 301.30952 -17.00887
00159 192.27272 -79.76996 247.82883 -62.60525 302.82302 -16.89871
00160 200.45454 -79.76996 249.62939 -61.42440 304.33832 -16.98127
00161 208.63637 -79.76996 251.62494 -60.34482 305.83026 -17.25512
00162 216.81818 -79.76996 253.78128 -59.37732 307.27394 -17.71553
00163 225.00000 -79.76996 256.06925 -58.53115 308.64504 -18.35454
00164 233.18182 -79.76996 258.46348 -57.81417 309.92004 -19.16110
00165 241.36363 -79.76996 260.94142 -57.23287 311.07643 -20.12126
00166 249.54546 -79.76996 263.48262 -56.79242 312.09292 -21.21832
00167 257.72726 -79.76996 266.06803 -56.49670 312.94954 -22.43310
00168 265.90909 -79.76996 268.67961 -56.34831 313.62778 -23.74412
00169 274.09091 -79.76996 271.29984 -56.34852 314.11079 -25.12783
00170 282.27274 -79.76996 273.91138 -56.49735 314.38366 -26.55882
