# FieldId Time[UTC] deltaT[sec] RA Dec
13815 2021-09-01T08:30:19.131 887.838 124.38203 39.84285
12267 2021-09-01T08:45:06.969 103.406 115.02439 27.25203
12060 2021-09-01T08:46:50.375 103.138 114.23077 25.67818
11849 2021-09-01T08:48:33.513 310.857 113.45972 24.10432
11205 2021-09-01T08:53:44.370 2615.274 111.15208 19.38277
05562 2021-09-01T09:37:19.644 115.593 92.07373 -19.96355
05347 2021-09-01T09:39:15.237 210.913 90.84112 -21.53741
04923 2021-09-01T09:42:46.150 116.97 89.14286 -24.68511
04714 2021-09-01T09:44:43.120 308.504 87.82609 -26.25896
04108 2021-09-01T09:49:51.624 118.923 85.45455 -30.98052
03911 2021-09-01T09:51:50.547 228.955 84.00001 -32.55437
03528 2021-09-01T09:55:39.502 109.937 81.38297 -35.70208
03343 2021-09-01T09:57:29.439 446.424 80.21739 -37.27593
02638 2021-09-01T10:04:55.863 113.327 75.00000 -43.57134
02472 2021-09-01T10:06:49.190 114.022 73.53659 -45.14520
02311 2021-09-01T10:08:43.212 267.813 72.00000 -46.71905
02002 2021-09-01T10:13:11.025 117.461 67.20000 -49.86675
01854 2021-09-01T10:15:08.486 106.763 65.34247 -51.44061
01712 2021-09-01T10:16:55.249 273.158 63.82978 -53.01446
01442 2021-09-01T10:21:28.407 183.371 58.15385 -56.16217
01314 2021-09-01T10:24:31.778 305.635 53.28000 -57.73602
01075 2021-09-01T10:29:37.413 189.091 45.39130 -60.88372
00964 2021-09-01T10:32:46.504 83.925 39.63303 -62.45758
00963 2021-09-01T10:34:10.429 200.033 36.33028 -62.45758
00857 2021-09-01T10:37:30.462 88.836 29.70874 -64.03143
00856 2021-09-01T10:38:59.298 818.451 26.21359 -64.03143
00950 2021-09-01T10:52:37.749 234.155 354.75726 -64.03143
01057 2021-09-01T10:56:31.904 83.854 346.78900 -62.45758
01056 2021-09-01T10:57:55.758 140.205 343.48624 -62.45758
01169 2021-09-01T11:00:15.963 218.972 339.65216 -60.88372
01287 2021-09-01T11:03:54.935 137.656 333.00000 -59.30987
01410 2021-09-01T11:06:12.591 458.004 329.76001 -57.73602
01812 2021-09-01T11:13:50.595 126.774 319.14893 -53.01446
01956 2021-09-01T11:15:57.369 696.435 316.84930 -51.44061
02918 2021-09-01T11:27:33.804 125.191 306.93640 -41.99749
03094 2021-09-01T11:29:38.995 4992.097 305.08475 -40.42364
13145 2021-09-01T12:52:51.092 108.609 263.93784 33.54744
13335 2021-09-01T12:54:39.701 1024.772 262.85715 35.12129
14865 2021-09-01T13:11:44.473 134.995 249.86842 49.28596
15013 2021-09-01T13:13:59.468 137.633 247.34694 50.85982
15155 2021-09-01T13:16:17.101 140.415 244.64789 52.43367
15293 2021-09-01T13:18:37.516 143.324 241.75183 54.00752
15425 2021-09-01T13:21:00.840 146.324 238.63637 55.58138
15553 2021-09-01T13:23:27.164 149.374 235.27560 57.15523
15675 2021-09-01T13:25:56.538 152.398 231.63934 58.72908
15793 2021-09-01T13:28:28.936 186.151 227.69231 60.30293
15904 2021-09-01T13:31:35.087 1677.537 222.16217 61.87680
15885 2021-09-01T13:59:32.624 138.133 160.54054 61.87680
15770 2021-09-01T14:01:50.757 177.934 156.92308 60.30293
15648 2021-09-01T14:04:48.691 172.813 151.96721 58.72908
15522 2021-09-01T14:07:41.504 265.104 147.40158 57.15523
15255 2021-09-01T14:12:06.608 256.756 141.89781 54.00752
14968 2021-09-01T14:16:23.364 249.146 137.14285 50.85982
14661 2021-09-01T14:20:32.510 129.617 132.99362 47.71211
14500 2021-09-01T14:22:42.127 346.442 130.80745 46.13826
13993 2021-09-01T14:28:28.569 124.622 126.20689 41.41670
13815 2021-09-01T14:30:33.191 424.534 124.38203 39.84285
13068 2021-09-01T14:37:37.725 105.13 120.31087 33.54744
12873 2021-09-01T14:39:22.855 654.372 119.38775 31.97359
11637 2021-09-01T14:50:17.227 311.009 113.23943 22.53047
10986 2021-09-01T14:55:28.236 2725.134 110.95890 17.80891
05134 2021-09-01T15:40:53.370 200.053 90.84906 -23.11126
04715 2021-09-01T15:44:13.423 116.76 89.56522 -26.25896
04510 2021-09-01T15:46:10.183 308.128 88.23530 -27.83282
03912 2021-09-01T15:51:18.311 118.643 85.84616 -32.55437
03719 2021-09-01T15:53:16.954 108.327 84.37500 -34.12823
03529 2021-09-01T15:55:05.281 108.927 83.29787 -35.70208
03344 2021-09-01T15:56:54.208 120.722 82.17391 -37.27593
03161 2021-09-01T15:58:54.930 221.11 80.55249 -38.84978
02808 2021-09-01T16:02:36.040 100.173 78.03468 -41.99749
02639 2021-09-01T16:04:16.213 112.128 77.14285 -43.57134
02473 2021-09-01T16:06:08.341 376.178 75.73171 -45.14520
02003 2021-09-01T16:12:24.519 116.076 69.60001 -49.86675
01855 2021-09-01T16:14:20.595 276.296 67.80822 -51.44061
01574 2021-09-01T16:18:56.891 276.414 62.20588 -54.58831
01315 2021-09-01T16:23:33.305 300.035 56.16000 -57.73602
01076 2021-09-01T16:28:33.340 184.979 48.52174 -60.88372
00965 2021-09-01T16:31:38.319 278.677 42.93578 -62.45758
00858 2021-09-01T16:36:16.996 298.988 33.20388 -64.03143
00757 2021-09-01T16:41:15.984 90.407 22.04082 -65.60529
00756 2021-09-01T16:42:46.391 90.898 18.36735 -65.60529
00755 2021-09-01T16:44:17.289 91.08 14.69388 -65.60529
00754 2021-09-01T16:45:48.369 90.951 11.02041 -65.60529
